recno,TYC1,TYC2,TYC3,BTmag,VTmag,HIP,RA(ICRS),DE(ICRS)
596589,2570,1520,1,6.999,6.445,76006,232.84295778,36.61665694
746048,3053,2220,1,8.008,6.441,76366,233.95494333,38.37394556
746047,3053,2219,1,7.281,5.322,76307,233.81208778,39.01004833
598560,2579,2094,1,6.029,4.845,79119,242.24303139,36.49015333
747867,3062,2252,1,5.949,5.528,80008,244.98014861,39.70859167
748836,3066,2214,1,6.571,5.047,80704,247.16052528,41.88168889
748373,3064,1796,1,7.815,6.043,79357,242.94835194,42.37451028
746275,3054,2093,1,7.712,6.42,78153,239.374465,39.69496944
746865,3057,2021,1,5.278,4.664,77760,238.16754222,42.45006333
747403,3060,1881,1,5.631,5.729,77986,238.87754222,42.56615472
747402,3060,1880,1,7.532,5.556,77907,238.65781667,43.13841167
877116,3492,1909,1,3.701,3.854,79992,244.93519889,46.31327583
749047,3067,1842,1,4.155,4.216,79101,242.19249472,44.93482528
596590,2570,1521,1,4.667,4.334,75411,231.12304972,37.37697139
744528,3045,492,1,7.779,6.325,74514,228.39827583,38.26481056
745844,3052,2052,1,7.698,5.733,75257,230.65571028,39.58149361
746663,3056,1900,1,6.363,5.353,76534,234.45647639,40.35329639
746467,3055,2341,1,7.133,5.219,75973,232.73229556,40.83306806
746466,3055,2340,1,5.105,4.992,76041,232.94579917,40.89936556
745157,3048,1495,1,8.302,6.333,74571,228.54288694,42.17144583
747040,3058,2173,1,6.564,6.183,75093,230.17353056,44.43461611
875103,3482,1697,1,7.625,6.191,75369,231.02136944,45.2710275
875101,3482,1695,1,6.262,6.151,75770,232.18503806,47.20150139
876877,3491,1859,1,4.596,4.694,78592,240.69938667,46.03684528
875326,3483,1859,1,6.157,5.784,76568,234.56728194,46.79798389
876416,3489,1588,1,6.879,5.932,76594,234.64249972,50.42334917
877140,3493,163,1,6.363,6.067,78286,239.76823972,49.88117167
1002584,3877,2416,1,7.904,6.083,78542,240.52315444,52.91600139
878637,3499,2110,1,5.808,5.686,80953,247.94680917,45.59819
878636,3499,2109,1,7.133,5.929,81289,249.04671611,46.61332472
878907,3500,2419,1,4.935,4.838,82321,252.30916722,45.98344333
878906,3500,2418,1,7.697,6.136,82611,253.32329722,47.41650806
879977,3504,2137,1,7.506,6.228,83575,256.20728167,48.8041225
879479,3502,2258,1,6.95,5.07,81497,249.68702667,48.92827917
879478,3502,2257,1,6.469,6.431,80809,247.52532083,48.96122056
879976,3504,2136,1,6.349,6.181,84108,257.917735,49.74631278
883217,3521,1800,1,3.98,2.874,85670,262.60823167,52.30135972
880468,3507,22,1,6.433,6.45,83857,257.07117528,50.84221556
1005085,3889,1067,1,5.762,5.745,86782,265.99651472,53.80175194
1007882,3906,438,1,6.469,6.121,87744,268.84841472,55.97110333
880715,3507,2541,1,6.264,6.291,84021,257.62768833,52.40879083
