TYC1,TYC2,TYC3,VTmag,HIP,RA(ICRS),DE(ICRS),recno
234,483,1,13.658,,142.19679806,7.27016361,57219
236,952,1,13.066,,145.77026333,1.11468361,57675
239,2,1,13.083,,147.47707028,2.92273444,58175
239,830,1,13.129,,146.87334944,4.73012028,58259
244,783,1,13.841,,151.73278722,1.63572028,59271
245,881,1,13.859,,154.65664667,0.38352722,59443
247,1311,1,13.973,,152.31651139,3.949885,59787
248,605,1,13.151,,152.69243861,3.35080167,59889
249,80,1,13.603,,156.22217472,2.61771333,60001
250,352,1,13.583,,150.58968,5.40081,60217
252,958,1,13.135,,157.03855833,6.51892806,60621
252,1393,1,13.111,,155.771125,5.5589525,60661
256,23,1,13.122,,159.91933806,2.76769111,61182
256,1205,1,13.089,,158.18883806,3.87849194,61333
257,375,1,13.309,,161.64544972,3.18072056,61442
257,941,1,13.391,,160.10941722,3.08201972,61523
259,111,1,13.482,,157.93062833,7.11424611,61730
259,824,1,13.113,,157.96171056,5.50966222,61804
261,878,1,13.134,,164.73961333,6.65125361,62186
264,688,1,13.36,,171.71199028,1.91691639,62580
269,115,1,13.209,,168.908515,5.0717075,63200
274,285,1,13.127,,172.80663917,3.82871306,63830
276,332,1,13.345,,178.84381222,4.96823361,64102
277,547,1,13.153,,173.78805889,5.91863333,64276
280,510,1,13.166,,181.49137028,0.31757361,64679
283,522,1,13.111,,181.40244278,2.75036306,65096
284,342,1,13.324,,182.96299111,4.57262083,65242
287,199,1,13.06,,184.57712861,7.46891694,65660
290,659,1,13.413,,191.71107639,0.86213194,66153
290,668,1,13.099,,191.71457639,0.14215139,66156
291,17,1,13.276,,192.78140722,1.96834556,66208
294,343,1,13.068,,194.85772639,4.59548556,66680
295,876,1,13.29,,188.31678944,7.19589472,66868
300,375,1,13.672,,201.60273806,0.11418472,67486
304,42,1,13.892,,195.61381722,6.46816139,68064
304,184,1,13.615,,196.73297056,6.49102833,68081
304,264,1,13.68,,195.39322639,5.59919361,68093
308,23,1,13.346,,206.87021,1.1712,68639
314,140,1,13.428,,205.89585306,6.29412,69478
316,761,1,13.899,,211.39693167,1.16222722,69868
317,427,1,13.868,,213.54278444,0.73378806,70006
321,1133,1,13.754,,215.83344611,3.29917722,70724
321,1188,1,13.265,,216.86299028,3.93281639,70727
323,465,1,13.507,,214.94217194,6.75891333,70961
329,1681,1,13.096,,222.11956944,2.9460575,71964
341,900,1,14.403,,231.53316083,3.74846306,73271
354,386,1,13.517,,234.27512194,2.37792917,74488
356,725,1,13.904,,236.88125806,2.24342333,74736
360,572,1,13.111,,236.3584875,4.46782444,75163
366,545,1,13.764,,241.58211083,1.36448694,75856
371,946,1,13.196,,243.67229444,3.67336,76546
376,287,1,13.141,,245.5261325,4.72681583,77137
390,1670,1,13.214,,248.04027306,4.73619694,79489
392,1726,1,13.069,,251.9203025,4.43062722,79795
403,1749,1,13.132,,257.16933889,3.65097917,81631
408,502,1,13.083,,259.18788667,4.47297639,82522
409,463,1,13.197,,261.13916306,5.20708806,82743
409,1098,1,13.348,,261.52404556,5.37388167,82809
410,1261,1,13.144,,256.66891056,7.18707556,83004
414,1363,1,13.166,,263.88553306,0.74119694,83899
423,938,1,13.348,,264.79916694,4.41014306,85721
424,43,1,13.363,,266.45176139,5.03450611,85840
425,1351,1,13.22,,268.61564778,4.56184972,86208
431,1034,1,13.16,,272.27646556,1.74740111,87747
432,562,1,13.071,,275.28076806,1.00552472,87859
435,505,1,13.305,,271.99122861,2.90279694,88352
435,1350,1,13.126,,272.04860306,3.1776525,88418
435,3359,1,13.09,,271.94919444,2.45227611,88558
444,151,1,13.164,,274.6741375,7.35310389,90774
444,2125,1,13.097,,274.11815639,6.24524722,90982
444,2318,1,13.101,,275.25705861,7.46006917,91006
444,2738,1,13.177,,275.60271694,7.39598556,91076
445,64,1,13.228,,275.92992583,6.24298417,91148
445,838,1,13.465,,277.19070167,6.23546389,91351
445,866,1,13.174,,276.14544972,5.781295,91364
445,1309,1,13.228,,275.85789861,6.78548028,91475
448,35,1,13.198,,282.70214361,1.55771472,91974
448,169,1,13.19,,282.69939139,0.63683667,92028
448,730,1,13.192,,282.2979825,0.47322389,92145
450,626,1,13.174,,279.27295639,2.91432278,92439
451,46,1,13.697,,279.46738528,3.53839611,92529
452,495,1,13.414,,281.84774222,2.53076639,92834
454,541,1,13.122,,277.56491917,4.77599806,93168
459,2472,1,13.297,,279.82299056,5.99833611,94810
464,1836,1,13.389,,289.71015472,1.62656806,96008
465,760,1,13.142,,290.7277225,1.51440528,96182
466,715,1,13.352,,286.26612417,3.07713917,96392
466,1948,1,13.391,,286.28669167,3.16701861,96568
469,565,1,13.512,,290.81626833,3.12056167,97299
471,1060,1,13.099,,288.51327639,5.472215,97927
474,392,1,13.072,,285.32742194,6.02398111,98850
474,618,1,13.125,,285.32902944,6.24941028,98902
475,1239,1,13.254,,288.7225575,6.80674167,99123
477,3064,1,13.089,,291.10898889,5.96225028,99735
478,645,1,13.283,,293.41246556,1.07711556,99937
478,758,1,13.112,,293.04109028,1.05274417,99960
482,793,1,13.06,,293.73466667,3.53144417,100714
483,631,1,13.13,,294.96394833,2.76310417,101126
483,2733,1,13.471,,294.50516083,2.67828889,101357
484,1681,1,13.123,,297.47432083,2.62575194,101510
487,768,1,13.329,,295.81801167,4.42576056,102358
490,1519,1,13.462,,292.76170222,6.86909167,103405
490,1738,1,13.288,,292.58719139,6.36223667,103421
490,3225,1,13.322,,293.03451,7.00900472,103562
490,4001,1,13.108,,293.78403361,7.28884528,103641
491,1470,1,13.144,,294.5979725,7.1961475,104019
493,407,1,13.31,,298.74086972,6.65518889,104714
493,2861,1,13.15,,299.997895,6.48041917,105035
493,3269,1,13.477,,299.893765,5.74219278,105092
494,1010,1,13.065,,300.7185025,1.21956833,105220
495,303,1,13.126,,303.62083028,1.5214725,105442
497,2145,1,13.465,,306.39413333,0.19335861,106239
498,582,1,13.145,,301.56878,2.94935472,106346
498,1083,1,13.399,,300.08727306,2.00003889,106409
499,2000,1,13.206,,302.45449389,3.08570833,106892
502,99,1,13.51,,300.04793667,5.51460361,107626
509,1128,1,13.1,,306.50014806,5.70841972,110174
513,1098,1,13.19,,314.90704222,1.51844056,111171
514,340,1,13.114,,308.39270417,2.16554639,111294
514,469,1,13.1,,308.71619389,2.41636639,111307
516,339,1,13.309,,312.3602775,2.60187333,111854
516,1544,1,13.189,,312.634295,2.06451083,112004
517,332,1,13.154,,313.69187278,2.75636333,112129
517,897,1,13.207,,314.24297583,3.28955444,112188
517,1170,1,13.102,,314.78027639,1.90176583,112216
517,1627,1,13.192,,314.61174083,3.66259194,112251
518,1076,1,13.186,,307.63786278,3.90796167,112494
520,1669,1,13.281,,312.70396917,5.27439722,113084
520,2145,1,13.345,,312.87658472,3.75821917,113132
521,1542,1,13.271,,314.99637472,3.7631575,113329
522,1130,1,13.09,,308.47547833,6.82559056,113576
522,1871,1,13.146,,307.96462528,6.29511139,113707
523,1222,1,13.895,,310.03235806,5.93008583,113922
524,2081,1,13.084,,311.94986639,6.80883889,114216
528,1801,1,13.482,,320.58554056,0.21079917,115111
530,2100,1,13.312,,315.13822222,3.37244667,115452
538,1780,1,13.091,,315.59283278,7.05019972,116700
540,622,1,13.359,,320.20322167,6.3633025,116994
541,1246,1,13.418,,320.87306028,7.258315,117235
546,450,1,13.256,,322.63416306,3.16247556,117940
548,105,1,13.198,107968,328.10571194,2.38948361,118181
554,1346,1,13.222,,323.96121083,6.29687167,119150
556,532,1,13.09,,326.78840361,7.19604056,119428
557,889,1,13.38,,328.72293,5.99386917,119607
558,2261,1,13.079,,330.92391917,0.57858111,119851
559,1813,1,13.083,,334.85531639,1.89679278,120061
560,949,1,14.035,,335.38488361,1.81182778,120231
562,894,1,13.186,,334.03023222,4.70417556,120578
563,397,1,13.427,,335.02321722,2.70044167,120754
565,881,1,13.255,,332.64612722,7.19887222,121238
565,1359,1,13.884,,333.16447194,6.71439972,121312
566,1194,1,13.67,,337.19435194,6.42374194,121519
571,356,1,13.114,,342.28091944,3.08274917,122337
572,203,1,13.473,,342.67804278,3.22790944,122556
574,919,1,13.257,,341.57771583,5.34735611,123070
576,1192,1,13.5,,346.06087444,0.19175194,123463
578,365,1,13.249,,350.35791528,1.6502025,123693
581,3,1,13.83,,350.69216556,4.67793167,124124
582,1443,1,13.537,,347.08194139,7.18650889,124441
584,1298,1,13.471,,350.48110222,5.17754528,124754
585,541,1,13.391,,354.69573861,2.27595306,124862
587,327,1,13.271,,359.98326417,1.02480833,125120
589,1315,1,13.097,,357.08084833,4.29673139,125552
590,807,1,13.113,,358.84906722,3.8391575,125683
593,1001,1,13.37,,359.07591528,5.26496806,126155
593,1219,1,13.438,,359.23766222,6.77860944,126176
594,967,1,13.108,,2.0028525,8.46594833,126366
596,214,1,13.515,,5.82336,9.67419278,126571
596,302,1,13.091,,5.15797944,9.20031111,126584
597,663,1,13.141,,1.21052222,10.73988444,126808
597,1217,1,13.062,,1.98693528,10.40299222,126871
598,642,1,13.073,,3.27494056,10.96278778,126999
598,889,1,13.632,,3.0144625,11.61206306,127023
598,1142,1,13.434,,3.02036083,10.24037333,127059
598,1184,1,13.138,,3.70189861,11.12725972,127062
600,188,1,13.1,,0.15354278,14.23351889,127325
600,391,1,13.142,,0.94234611,14.60293889,127351
600,719,1,13.213,,1.90860417,13.95015444,127402
600,720,1,13.08,,2.22332472,13.36403389,127403
600,1340,1,13.075,,0.33179389,14.04454583,127491
601,531,1,13.325,,4.75001583,14.42743333,127579
609,680,1,13.424,,8.01061556,13.92228917,128888
614,1202,1,13.912,,21.929625,7.54610333,129801
617,86,1,13.213,,22.79756389,10.00784694,130166
617,253,1,13.949,,22.64939194,10.79997083,130191
620,705,1,13.157,,22.37786639,12.85508361,130771
623,645,1,13.513,,29.33293556,9.87687556,131262
624,967,1,13.71,,25.19575139,12.15584111,131483
625,998,1,13.372,,27.61063528,10.54870806,131653
626,1103,1,13.229,,30.20180778,10.99535389,131816
627,1210,1,13.068,,24.91342194,13.20580833,132026
627,1246,1,13.123,,25.26138389,13.51275667,132032
628,11,1,13.113,,25.79038528,14.441195,132048
629,1334,1,13.092,,30.30065167,13.96049278,132394
630,340,1,13.138,,31.17669194,8.43197278,132468
633,698,1,13.25,,32.54361306,10.35962944,133079
633,1035,1,13.084,,32.40681583,11.15782111,133135
634,244,1,13.558,,34.97734278,10.20423028,133188
634,1062,1,13.443,,33.98341056,11.03075278,133296
638,806,1,13.179,,37.3656875,13.69695361,133971
642,1073,1,13.175,,39.69052833,11.32947222,134530
644,586,1,13.57,,45.89543917,10.40580472,134757
646,679,1,13.549,,43.23175583,14.28353583,135067
650,713,1,13.549,,52.93752167,8.39424528,135596
650,1271,1,13.231,,52.62828194,9.65081417,135660
660,887,1,13.277,,53.67202389,10.79937111,137096
661,189,1,13.647,,58.19398528,11.49641,137146
662,729,1,13.065,,60.4140025,10.98562917,137428
664,949,1,13.108,,57.31738333,14.149295,137763
665,721,1,13.105,,59.8143325,13.25137611,137910
668,64,1,13.069,,66.06344056,9.20823556,138135
673,860,1,13.218,,68.21191111,11.028725,138579
685,675,1,13.502,,75.85658806,8.60894,139801
688,1085,1,13.157,,74.35976944,10.555905,140283
692,216,1,13.455,,73.89008917,11.88840972,140736
693,1546,1,13.156,,76.37843056,11.67799472,140955
697,806,1,13.159,,76.45487639,14.48078306,141349
717,1854,1,13.189,,90.62219611,8.23732528,145345
719,1121,1,13.115,,86.68181944,10.138885,146050
721,812,1,13.871,,91.44225222,9.6784075,146571
