TYC1,TYC2,TYC3,VTmag,HIP,RA(ICRS),DE(ICRS),recno
3,927,1,11.17,,5.07358028,0.85236417,468
3,968,1,11.758,,5.2449975,1.78607806,471
3,970,1,12.001,,5.20729472,1.52066083,473
3,993,1,11.974,,7.29183417,0.7775725,474
3,1005,1,11.208,,6.57149556,1.366435,475
159,1824,1,12.589,,100.95203611,6.70642556,35156
3,1020,1,11.802,,6.59093556,0.92581917,477
3,1033,1,11.59,,6.40439556,0.08684694,478
3,1045,1,12.492,,6.6468175,0.48347083,479
3,1047,1,12.031,,5.78347528,0.47746194,480
3,1050,1,11.464,,5.445205,0.28326722,481
3,1053,1,11.307,,7.04277639,0.34807694,482
3,1057,1,11.546,,7.02267917,0.21936944,483
3,1062,1,11.635,,5.89768,2.17344111,484
3,1075,1,12.172,,5.7826325,0.09774972,487
3,1084,1,12.066,,5.71814806,0.82201056,489
3,1099,1,11.068,,6.52683306,0.33240528,490
3,1108,1,12.377,,5.78890361,0.12855333,492
3,1110,1,11.193,,6.49705389,0.34330806,493
4,1,1,12.6,,2.14889222,2.79946722,497
4,3,1,11.413,,1.54847167,2.66862389,498
4,7,1,11.899,,0.62126111,2.86256833,499
4,20,1,11.095,,0.03700583,3.42900861,501
4,47,1,11.555,,2.34430667,2.71076556,502
4,55,1,11.49,,1.53039611,2.83113806,504
4,58,1,12.193,,1.49524667,3.10398361,505
4,68,1,11.009,,1.41416528,2.54696667,508
4,69,1,11.52,,2.33083944,2.68534111,509
4,78,1,11.129,,1.16376472,3.09890139,511
4,97,1,12.145,,1.42802389,2.64961194,513
4,109,1,12.028,,0.92910417,2.74621861,514
4,119,1,12.981,,2.3632225,2.60618139,516
4,141,1,11.799,,1.91795222,2.56443639,519
4,161,1,12.126,,1.5862375,3.08623167,521
4,167,1,11.865,,2.13585889,2.53725444,522
4,177,1,11.064,,1.04223167,3.43941306,524
4,190,1,11.249,,1.16350944,2.52868861,526
161,206,1,11.347,,103.55638472,6.74389417,35910
4,198,1,11.218,,1.34218389,2.95730278,529
4,201,1,11.552,,2.48099306,3.2915925,530
4,228,1,12.061,,1.96718528,3.220315,531
4,232,1,11.555,,2.35370778,3.21377778,532
4,272,1,11.601,,1.39986306,2.684065,534
4,279,1,11.75,,0.39051528,3.18062861,536
4,295,1,11.227,,0.04999333,2.68741889,537
4,298,1,11.002,,1.28291944,3.07267722,538
4,301,1,11.319,,0.73519722,2.57647056,539
4,368,1,11.238,,0.72696583,3.02475333,546
4,369,1,11.241,,2.15003222,2.96714333,547
4,381,1,12.058,,2.10204472,2.8357325,548
4,403,1,12.463,,0.31003806,2.93624389,550
4,405,1,12.148,,1.62563639,3.08194417,551
4,409,1,11.508,,1.861185,3.44991694,552
4,424,1,11.178,,2.115755,3.41983361,555
4,443,1,11.737,,2.30126028,3.39576583,556
4,455,1,11.078,,1.329145,3.49696111,557
4,474,1,11.746,,1.86466361,3.01575222,559
4,476,1,12.204,,1.17610667,3.50039667,561
4,488,1,11.099,,2.16132361,3.33161556,562
4,496,1,11.911,,1.93300833,3.32090833,563
4,517,1,11.249,,1.36375833,4.80650639,564
4,519,1,11.067,,2.36769889,4.6836825,565
4,522,1,11.366,,0.71790028,4.2485975,566
4,537,1,12.07,,2.34395361,4.1254475,569
4,543,1,11.36,,2.34408056,3.8380425,570
4,544,1,11.196,,0.95976861,4.91150722,571
4,549,1,12.406,,0.23984806,4.93130139,573
4,559,1,11.542,,1.607435,3.94963361,577
4,560,1,11.614,,0.691455,4.80992556,578
4,597,1,11.613,,2.18429972,4.84729889,586
4,598,1,12.529,,2.42846,4.08852472,587
4,610,1,12.295,,1.34113667,4.94138333,588
4,612,1,12.211,,0.70901889,4.07011472,589
4,624,1,11.561,,0.78375389,3.98416583,590
4,626,1,12.027,,0.27289917,4.12043472,591
4,627,1,12.05,,1.4492725,3.91353667,592
4,628,1,11.022,,1.49413861,4.76704472,593
4,632,1,11.633,,0.33888167,4.34554,596
4,640,1,12.289,,0.39831028,3.92418444,597
4,651,1,11.841,,1.73963389,3.91890778,599
4,653,1,11.869,,1.87004694,4.90526778,600
4,654,1,12.063,,0.79750778,3.90172889,601
4,660,1,11.118,,2.26656806,4.84163139,602
4,663,1,12.075,,1.21784361,3.80236111,603
4,672,1,11.014,,2.44338611,4.95267806,604
4,680,1,11.263,,1.23233361,4.99824139,605
4,694,1,11.553,,0.35124722,4.99589833,607
4,698,1,11.175,,2.02501472,4.54956611,608
4,708,1,11.076,,1.22861806,3.68277056,610
4,711,1,12.382,,0.04538306,4.65161083,611
4,713,1,11.334,,0.11838417,3.60378083,612
4,714,1,11.494,,1.94837917,3.65936583,613
4,752,1,11.067,,2.30320528,3.719225,615
4,772,1,12.34,,2.44399306,3.62840139,616
4,783,1,11.878,,0.98461722,4.66975528,617
4,788,1,11.791,,0.36764361,4.79012167,618
4,790,1,12.061,,0.88678972,4.83876944,619
4,791,1,11.766,,0.10401917,4.64188583,620
4,794,1,12.059,,1.77026694,3.86254528,621
4,797,1,11.205,,1.07564722,4.73668667,622
4,814,1,12.822,,0.39769167,4.53719278,623
4,823,1,11.069,,0.1043175,3.78910694,625
4,834,1,11.488,,0.98409028,3.74082444,627
4,841,1,11.958,,1.22963389,4.0547675,629
4,845,1,11.615,,1.74486722,4.35240694,630
161,1485,1,11.41,,103.89549167,6.13265583,36131
4,854,1,11.988,,1.03949528,4.19765667,632
4,872,1,11.781,,1.69235333,4.46146139,635
4,873,1,12.154,,0.87795056,4.82998917,636
4,874,1,11.813,,0.21143722,4.16311417,637
4,894,1,12.193,,2.45548944,4.14716306,639
4,912,1,12.737,,1.80049167,3.63264917,641
4,919,1,11.767,,0.70900083,4.65250306,642
4,922,1,12.093,,0.96439833,4.12890056,643
4,926,1,12.206,,0.45168139,4.90960472,644
4,943,1,11.032,,0.0045825,4.64866222,646
4,952,1,11.666,,1.27854194,3.68036722,648
4,953,1,12.058,,1.59854,4.74142583,649
4,956,1,11.241,,1.14023639,4.25126361,650
4,960,1,11.078,,0.9463425,3.93289917,651
4,978,1,12.042,,0.43250583,4.14436,653
4,979,1,11.688,,0.52961778,3.65028278,654
4,1001,1,11.922,,0.48548833,4.77762222,656
4,1015,1,12.12,,2.29709222,3.78985667,658
4,1017,1,11.635,,0.42031139,3.75370222,659
4,1018,1,12.036,,0.08785833,3.67276806,660
4,1020,1,11.665,,1.58004944,3.93455833,661
4,1031,1,11.298,,1.47168361,4.41016667,662
4,1049,1,12.55,,0.84373944,3.84468417,663
4,1055,1,11.656,,1.32507306,3.62366833,664
4,1068,1,11.842,,1.68952361,3.70573278,666
4,1085,1,11.055,,2.06069528,4.47123333,669
4,1088,1,12.54,,1.42282194,4.83470222,670
4,1109,1,11.248,,1.56683278,4.26006306,671
4,1111,1,11.462,,1.12809472,4.49367333,672
4,1113,1,11.26,,1.52875667,4.61685889,673
4,1123,1,11.965,,1.54201639,4.27230667,674
4,1135,1,11.561,,0.81109694,4.22418028,675
4,1139,1,11.28,,0.85908806,3.88125889,676
4,1151,1,11.308,,2.23961667,3.67770833,679
4,1161,1,11.657,,2.00042278,4.92881389,680
4,1171,1,12.129,,1.81994083,4.04823639,682
4,1172,1,11.03,,2.32858056,3.60128361,683
4,1175,1,11.112,,1.53837,4.68938139,684
4,1180,1,11.411,,1.4251225,3.79488056,685
4,1191,1,11.949,,1.56055361,4.28382389,687
4,1204,1,11.037,,0.07526139,4.26845833,691
4,1209,1,11.013,,0.23678028,3.90611278,692
4,1211,1,11.007,,0.34368583,3.80382528,693
4,1224,1,11.645,,0.06251694,4.63084194,696
4,1227,1,12.293,,2.32669722,4.64358667,697
4,1258,1,11.062,,1.67010361,3.57807806,698
4,1517,1,11.592,,0.56894944,3.51956306,700
4,1553,1,12.552,,0.58209472,3.45083806,701
4,1573,1,11.984,,0.7697325,3.37883944,702
4,1634,1,11.897,,1.57047056,3.54843444,703
4,1694,1,11.45,,1.08254972,3.56132833,704
5,13,1,12.077,,2.90343889,3.44762306,705
5,22,1,13.38,,3.46013417,3.07297556,706
5,25,1,11.439,,3.46163444,3.08422333,707
5,26,1,11.312,,2.53897667,3.08421028,708
5,42,1,11.126,,2.65934389,3.16127722,711
5,50,1,11.852,,3.01038222,3.19556861,714
5,54,1,11.544,,2.6097725,3.22067972,715
5,67,1,11.955,,3.40217972,2.52466972,716
5,76,1,11.872,,2.94493389,2.54361694,717
5,95,1,11.638,,2.57560361,2.6066675,720
5,108,1,11.091,,2.79025667,2.89193222,722
5,109,1,11.461,,3.489275,2.65283722,723
5,111,1,12.232,,3.72693139,2.66263639,725
5,119,1,11.602,,3.45176028,2.87215278,727
5,126,1,12.078,,3.41777389,2.70052417,729
5,129,1,12.101,,3.47264972,2.70677083,730
5,149,1,11.484,,3.11409694,2.79045806,731
5,164,1,11.184,,2.56162444,4.54160639,735
5,182,1,11.216,,2.93518194,4.91498083,737
5,184,1,11.658,,4.44080167,4.98014306,738
5,208,1,11.833,,2.8155675,3.80856667,739
5,266,1,12.423,,4.42120833,4.97276167,742
5,274,1,11.738,,3.15345056,4.08323194,743
5,303,1,11.492,,4.38931833,3.74725278,745
5,304,1,12.677,,3.74755833,4.68881389,746
5,307,1,12.636,,4.46255528,4.528475,747
5,319,1,12.415,,4.53146694,4.34767528,748
5,322,1,11.881,,4.92490889,4.566695,750
5,328,1,12.09,,3.18178806,4.65390389,753
5,364,1,12.696,,4.64920556,4.53776389,762
5,371,1,11.383,,2.57540278,4.28433972,763
5,375,1,12.204,,2.9017125,3.76627222,764
5,380,1,11.341,,4.87758278,4.91913722,765
5,395,1,11.966,,4.03355583,4.47360667,767
5,396,1,11.005,,3.00693,4.46210111,768
